#	number
#	pound
(F)	final
MEA	mercaptoethylamine
MEA	multiple endocrine abnormalities
MEA	multiple endocrine adenomatosis
MEB	methylene blue
MEC	meconium
MEC	middle ear canals
MEC	minimum effective concentration
MECG	maternal electrocardiogram
MED	median erythrocyte diameter(laboratory/hematology)
MED	medication (Med)
MED	minimal effective dose
MED	minimal erythema dose(x-ray therapy)
MED	multiple epiphyseal dysplasia
MED	medial
MED	medicine
MEDAC	multiple endocrine-deficiency-autoimmune candidiasis
MEDAC	multiple endocrine deficiency, Addison's disease and candidiasis
MEDEX	medication administration record
MEE	maintenance energy expenditure
MEE	measured energy expenditure
MEE	middle ear effusion
MEF	middle ear fluid
MEFR	maximal expiratory flow rate(pulmonary expiratory flow rate)
MEFV	maximal expiratory flow-volume(pulmonary function test)
MEG	magnetoencephalogram
MEG	megakaryocytes
MEG	megestrol acetate
MEH	melanophore expanding hormone
MEK	methyl ethyl ketone
MEM	minimum essential medium
MEN	melarsoprol
MEN	meningeal
MEN	meninges
MEN	meningitis
MEN	multiple endocrine neoplasia
MEO	malignant external otitis
MEOS	microsomal ethanol oxidizing system
MEP	maximal expiratory pressure
MEP	mean effective pressure
MEP	motor evoked potential
MEPP	miniature end-plate potential
MER	mean ejection rate
MES	maximal electroshock seizure
MES	maximal eye speed
MES	mesial
MESA	microscopic epididymal sperm aspiration
MET	medical emergency treatment
MET	metabolic
MET	metabolic equivalent
MET	metamyelocytes
METHb	methemoglobin
METS	metastasis
MEV	million electron volts
MF	Malassezia furfur
MF	masculinity/femininity
MF	medium frequency
MF	methotrexate, fluorouracil and calcium leucovorin
MF	microscopic factor
MF	mid forceps
MF	mycosis fungoides
MF	myelin figures
MF	myocardial fibrosis
MFAT	multifocal atrial tachycardia
MFB	metallic foreign body
MFD	midforceps delivery(obstetrics)
MFD	minimum fatal dose
MFEM	maximal forced expiratory maneuver
MFH	malignant fibrous histiocytoma
MFP	monofluorophosphate
MFP	myofascial pain
MFPS	myofascial pain syndrome
MFR	mid-forceps rotation
MFR	mucus flow rate
MFR	myofascial release
MFT	mucous membrane function test
MFT	muscle function test
MFVNS	middle fossa vestibular nerve section
MG	muscle group
MG	myasthenia gravis
MG	membranous glomerulonephritis
MG	Menopausal gonadotropin
MG	mesiogingival
MG	methyl glucoside
MG/OL	molecular genetics/oncology laboratory
MGB	Michaelis-Gutmann bodies
MGBG	methylglyoxal bis(guanylhydrazone)
MGF	macrophage growth factor
MGF	mast cell growth factor
MGF	maternal grandfather
MGGH	methylglyoxal guanylhydrazone
MGM	maternal grandmother
MGN	membranous glomerulonephritis
MGR	modified gain ratio
MGS	malignant glandular schwannoma
MGUS	monoclonal gammopathy of undetermined significance
MGW	macroglobulinemia Waldenstr?m
MH	maintenance hemodialysis
MH	malignant hyperthermia(hyperpyrexia)
MH	mammotropic hormone
MH	marital history
MH	medical history
MH	menstrual history
MH	mental health
MH	moist heat
MH/MR	mental health and mental retardation
MH/gbc	mean corpuscular hemoglobin concentration
MHA	mental health assistant
MHA	methemalbumin
MHA	methotrexate, hydrocortisone, and cytarabine(ARA-C)
MHA	microangiopathic hemolytic anemia
MHA	microhemagglutination
MHA	mixed hemadsorption
MHA-TP	microhemagglutination assay-Treponema pallidum
MHC	major histocompatibility complex
MHC	mental health center(clinic)
MHC	mental health counselor
MHD	mean hemolytic dose
MHD	minimum hemolytic dose
MHI	Mental Health Index(information)
MHN	massive hepatic necrosis
MHN	morbus hemolyticus neonatorum(Lat.)
MHPG	methoxyhydroxyphenylglycol
MHR	maximal heart rate(during stress test)
MHS	major histocompatibility system
MHS	malignant hyperthermia susceptible
MHW	medial heel wedge
MHW	mental health work
MHb	methemoglobin(laboratory/chemistry)
MHxR	medical history review
MI	mechanical inflammation
MI	medical insurance
MI	membrane intact
MI	menopausal index
MI	mental illness
MI	mercaptoimidazole
MI	mitral infarction
MI	mitral insufficiency (incompetence)
MI	mobility index
MI	morphological index
MI	myocardial infarction
MIA	medically indigent adult
MIBK	methyl isobutyl ketone
MIC	maternal and infant care
MIC	microcytic erythrocytes
MIC	microscope
MIC	minimum inhibitory concentration
MICA	mentally ill chemical abuser
MICR	methacholine inhalation challenge response
MICRO	microcytes
MICU	medical intensive care unit
MID	maximum inhibiting dilution
MID	mesioincisodistal
MID	minimum infective dose
MID	minimum inhibiting dose
MID	multi-infarct dementia
MIDEPIS	midline episiotomy
MIE	maximum inspiratory effort
MIE	medical improvement expected
MIF	macrophage-inhibiting factor
MIF	melanocyte-stimulating hormone inhibiting factor
MIF	migration inhibitory factor
MIF	mixed immunofluorescence
MIFR	maxima-inspiratory flow rate(pulmonary function test)
MIH	melanocyte-stimulating hormone release-inhibiting hormone
MIH	migraine with interparoxysmal headache
MIH	multiple internal hemorrhoid
MIO	minimum identifiable odor
MIP	maximum inspiratory pressure(pulmonary function test)
MIP	maximum-intensity projection
MIP	mean intrathoracic pressure
MIP	medical improvement possible
MIP	metacarpointerphalangeal
MIRD	medical internal radiation dose
MIRP	myocardial infarction rehabilitation program
MIS	minimal intervention surgery
MIS	minimally invasive surgery
MIS	mitral insufficiency
MISC	miscarriage
MISC	miscellaneous
MIT	meconium in trachea
MIT	miracidial immobilization test
MITO-C	mitomycin C
MK	monkey kidney
MK-CSF	megakaryocyte colony-stimulation factor
MKAB	may keep at bedside
MKB	megakaryoblast
ML	malignant lymphoma
ML	mesiolingual
ML	middle lobe(of lung)
ML	midline
ML	mucolipidosis
MLA	left mentoanterior (fetal position) [L.mento-laeva anterior]
MLAI	mesiolabioincisal
MLAP	mean left atrial pressure
MLBW	moderately low birth weight
MLC	minimal lethal concentration
MLC	mixed lymphocyte culture
MLC	myelomonocytic leukemia, chronic
MLD	masking level difference
MLD	metachromatic leukodystrophy
MLD	minimal lethal dose
MLD	median lethal dose
MLE	midline episiotomy
MLF	medial longitudinal fasciculus
MLF	median longitudinal fasciculus
MLN	manifest latent nystagmus
MLN	membranous lupus nephropathy
MLN	mesenteric lymph node
MLNS	minimal lesion nephrotic syndrome
MLNS	mucocutaneous lymph node syndrome
MLO	mesiolinguo-occlusal
MLP	left mentoposterior (fetal position) [L.mento-laeva posterior]
MLP	mesiolinguopulpal
MLR	middle latency response
MLR	mixed lymphocyte reaction
MLR	multiple logistic regression
MLS	micro laryngeal surgery
MLS	myelomonocytic leukemia, subacute
MLT	left mentotransverse (fetal position) [L. mento-laeva transversa]
MLT	median lethal time
MLV	Moloney's leukemogenic virus
MLV	mouse leukemia virus
MLV	multilaminar vesicle
MM	malignant melanoma
MM	medial malleolus
MM	meningococcic meningitis
MM	methadone maintenance
MM	millimeter(mm)
MM	morbidity and mortality
MM	motor meal
MM	mucous membrane
MM	multiple myeloma
MM	muscles
MM	muscularis mucosa
MM	myeloid metaplasia
MMA	mastitis-metritis-agalactia(syndrome)
MMA	middle meatal antrostomy
MMC	minimal medullary concentration
MMC	mitomycin(mitomycin C)
MMD	minimal melanogenic dose
MMECT	multiple monitor electroconvulsive therapy
MMEF	maximal mid-expiratory flow(pulmonary function test)
MMF	mean maximal flow
MMFR	maximal mid-expiratory flow rate(pulmonary function test)
MMFR	maximum midflow rate
MMK	millimicron(mmm)
MMM	mucous membrane moist
MMM	myelofibrosis with myeloid metaplasia
MMM	myelosclerosis with myeloid metaplasis
MMOA	maxillary mandibular odontectomy alveolectomy
MMPI	Minnesota Multiphasic Personality Inventory(psychological test)
MMR	measles, mumps, and rubella
MMR	midline malignant reticulosis
MMR	mild mental retardation
MMR	myocardial metabolic rate
MMR	maternal mortality rate
MMSE	minimal mental screening examination
MMT	manual muscle test
MMT	Mini Mental Test
MMTV	malignant mesothelioma of the tunica vaginalis
MMV	mandatory minute volume
MMVT	monomorphic ventricular tachycardia
MMa	methyl methacrylate
MMa	methymalonic acid
MMa	monocyte monolayer assay
MN	manifest nystagmus
MN	midnight
MN	moderatly nourished
MN	mononuclear
MN	mucous nutrition
MN	myoneural
MNC	mononuclear leukocytes
MNCV	motor nerve conduction velocity(procedure/physical medicine)
MND	modified neck dissection
MND	motor neuron disease (correction)
MNF	myelinated nerve fibers
MNG	multinodular goiter
MNI	mumps, newcastle disease and influenza(virus)
MNM	mononeuritis multiplex
MNR	marrow neutrophil reserve
MNSs	blood group
MNTB	medial nucleus of trapezoid body
MNU	methylnitrosourea
MO	medial oblique(x-ray view)
MO	mesio-occlusal
MO	mineral oil(medication order)
MO	minute output(of heart)
MO	monocyte
MO	month(mo)
MO	morbidly obese
MOB-PT	mitomycin C, Oncovin, bleomycin, and Platinol
MOC	myocardial oxygen consumption
MOCA	methotrexate, oncovin, cyclophosphamide, and Adriamycin
MOD	maturity-onset diabetes
MOD	mesio-occlusodistal
MOD	multiorgan dysfunction
MODM	maturity-onset diabetes mellitus
MODY	maturity-onset diabetes of youth
MOE	movement of extremities
MOF	methoxyflurane
MOF	multiple organ failure
MOI	multiplicity of infection
MOJAC	mood orientation, judgement, affect, and content
MOL	mouth opening limitaiton
MOM	mucoid otitis media
MOMA	methoxyhydroxymandelic acid
MON	monitor
MOP	medical outpatient
MOP	multiple organ procurement
MOPP	mechlorethamine, oncovin, procarbazine, and prednisone(cancer chemotherapy)
MOPP/ABV	mechlorethamine, oncovin, procarbazine, prednisone, Adriamycin, bleomycin, Vinblastine, and dacarbazine
MOT	motility examination
MOV	minimal occluding volume
MOV	minimum obstructive volume
MOV	multiple oral vitamin
MO₂	myocardial oxygen consumption
MP	mean pressure
MP	melphalan and prednisone
MP	melting point
MP	menstrual period
MP	mercaptopurine
MP	mesiopulpal
MP	metacarpal phalangeal (joint)
MP	metatarsal phalangeal (joint)
MP	middle phalanx
MP	mononuclear phagocyte
MP	mouthpiece
MP	mucopolysaccharied
MP	mucoprotein
MP	multiparous
MPA	main pulmonary artery
MPAP	mean pulmonary artery pressure
MPB	male pattern baldness
MPC	maximum permissible concentration
MPC	minimal mycoplasmacidal concentration
MPC	mucopurulent cervicitis
MPD	maximum permissable dose
MPD	minimal phototoxic dose
MPD	multiple personality disorder
MPDS	myofascial pain dysfunction syndrome
MPE	mean prediction error
MPE	mirror pelvic examination
MPF	methylparaben free
MPGN	membranoproliferative glomerulonephritis
MPI	multiphasic personality inventory(psychological test)
MPJ	metacarpophalangeal joint
MPN	multiple primary neoplasms
MPP	massive periretinal proliferation
MPPT	methylprednisolone pulse therapy
MPS	mononuclear phagocyte system
MPS	mucopolysaccharide
MPS	multiphasic screening
MPS	myofascial pain syndrome
MPTR	motor, pain, touch, reflelx (deficit)
MPV	mean plasma volume
MPV	mean platelet volume
MPV	metatarsus primus varus
MQ	memory quotient
MQ	menaquinone
MR	magnetic resonance
MR	malnutrition related
MR	mantoux reaction
MR	measles-rubella
MR	medial rectus
MR	medical record
MR	medical rehabilitation
MR	mental retardation(mentally retarded)
MR	metabolic rate
MR	methyl red(test)
MR	mitral regurgitation
MR	moderate resistance
MR	motor retardation
MRA	main renal artery
MRA	medical record administrator
MRAP	mean right atrial pressure
MRAS	main renal artery stenosis
MRCP	mental retardation, cerebral palsy
MRD	margin reflex distance
MRD	Medical Record Department
MRD	minimal residual disease
MRD	minmum reacting dose
MRDM	malnutrition-related diabetes mellitus
MRE	manual resistance exercise
MRF	mitral regurgitant flow
MRG	murmur, rubs, and gallops
MRI	magnetic resonance imaging
MRL	minimal response lever
MRM	modified radical mastectomy
MRS	magnetic resonance spectroscopy
MRVP	mean right ventricular pressure
MS	mass spectroscopy
MS	maxillary sinus
MS	Meniere's syndrome
MS	mental status
MS	minimal support
MS	mitral sounds
MS	mitral stenosis
MS	morning stiffness
MS	morphine sulfate (medication order)
MS	multiple sclerosis
MS	muscle strength
MS	musculoskeletal
MSA	multiple system atrophy
MSAF	meconium-stained amniotic fluid
MSAFP	maternal serum alpha-fetoprotein
MSAP	mean systemic arterial pressure
MSB	melanocyte stimulating hormone
MSC	medical social coordinator
MSCWP	musculoskeletal chest wall pain
MSD	microsurgical discectomy
MSE	Mental State Examination
MSEL	myasthenic syndrome of Eaton Lambert
MSER	mean systolic ejection rate
MSER	Mental Status Examination Record
MSF	meconium-stained fluid
MSF	megakaryocyte stimulating factor
MSG	monosodium glutamate
MSH	melanocyte-stimulating hormone
MSI	mitral stenosis and insufficiency
MSK	medullary sponge kidney
MSL	midsternal line
MSLT	multiple sleep latency test
MSM	mid-systolic murmur
MSO	mentally stable and oriented
MSOF	multiple system organ failure
MSPN	medical student progress notes
MSPU	medical short procedure unit
MSR	maximum security room
MSR	muscle stretch reflexes
MSS	mean sac size
MSS	minor surgery suite
MSS	muscular subaortic stenosis
MSS-CR	mean sac size and crown-rump length
MSSU	mid-stream specimen of urine
MST	mean survival time
MST	median graft survival time
MSTA	mumps skin test antigen
MSTI	multiple soft tissue injuries
MSU	midstream urine(procedure/urine culture)
MSUD	maple-syrup urine disease
MSV	Moloney's sarcoma virus
MSV	murine sarcoma virus
MSW	multiple stab wounds
MT	empty
MT	malaria therapy
MT	malignant teratoma
MT	medical technologist
MT	membrana tympani(Lat.)
MT	metatarsal(joint)
MT	methyltyrosine
MT	middle turbinate
MT	minor tremor
MT	monitor technician
MT	muscles and tendons
MT	music therapy
MTA	metatarsus adductus
MTAD	tympanic membrane of the right ear[Latin:membrana tympana auris dextra]
MTB	Mycobacterium tuberculosis
MTC	maximum toxic concentration
MTC	medullary thyroid carcinoma
MTD	maximum tolerated dose
MTD	right ear drum
MTDI	maximal tolerable daily intake
MTF	maximum, terminal flow
MTF	modulation transfer function
MTF	myocardial toxic factor
MTG	mild-thigh girth
MTI	malignant teratoma intermediate
MTI	minimum time interval
MTJ	midtarsal joint
MTP	master treatment plan
MTP	medical termination of pregnancy
MTP	metatarsal phalangeal (joint)
MTR	mean total reactivity
MTS	multicellular tumor spheroid
MTT	malignant trophoblastic teratoma
MTV	mammary tumor virus
MTV	metatarsus varus
MU	million units
MUAP	motor unit action potential
MUC	maximum urinary concentration
MUC	mucosal ulcerative colitis
MULT	multi gravida
MUO	malignancy neoplasm of unknown origin
MUO	metastasis of unknown origin
MUP	motor unit potential
MV	mechanical ventilation
MV	minute volume
MV	mitral valve
MV	mixed venous(blood)
MV	multivesicular body
MVA	malignant ventricular arrhythmias
MVA	mitral valve area
MVA	motor vehicle accident
MVB	mixed venous blood
MVC	maximal voluntary contraction
MVD	microvascular decompression(of nerve)
MVD	mitral valve disease
MVD	multivessel disease
MVE	mitral valve(leaflet) excursion
MVM	microvillose membrane
MVP	mean venous pressure
MVP	mitral valve prolapse(syndrome)
MVR	massive vitreous retraction
MVR	mitral valve regurgitation
MVR	mitral valve replacement(operation/cardiac)
MVS	mitral valve stenosis
MW	molecular weight
MWD	microwave diathermy
MYD	mydriatic
MZ	monozygotic
MZL	marginal zone lymphocyte
MZT	monozygotic twins
Mab	monoclonal antibody
Mammo	mammography
Mb	myoglobin
MbO2	myoglobin combined with oxygen
McB pt	McBurney's point
Me	methyl
Me2CO	acetone
MeCCNU	semustine
MeOH	methyl alcohol
Meg-CSF	megakaryocytic-colony stimulating factor
Mesc	mescaline
Mev	million electron voltx, megaelectron volts
Mg	magnesium
Mg	milligram
MgO	magnesium oxide
MgSO4	magnesium sulfate(Epsom salt)(medication orders/prescriptions)
Mn	manganese(laboratory/chemistry)
MnFx	mandible fracture
MnPV	Mastomys natalensis Papillomavirus
MnSSEP	median nerve somatosensory-evoked potentials
Mo	molybdenum
Mo	monocyte
MoAb	monoclonal antibody
MoICU	mobile intensive care unit
Mx	myringotomy
My	myopia
MyG	myasthenia gravis
M₁	mitral first sound
N	nasal
N	nausea
N	negative
N	Negro
N	nerve
N	neutral protamine hagedorn insulin
N	neutron
N	neutrophil(on white blood count reports)
N	never
N	nipple
N	nitrogen
N	none
N	normal
N	normal concentration
N	number
N	refractive index
N	size of sample
N	unit of neutron dosage
N Dx	non-diagnostic
N Surg	neurosurgery
N&A	normal and active
N&D	nodular and diffuse(lymphoma)
N&M	nerves and muscles
N&M	night and morning
N&T	nose and throat
N-cath	nelaton catheterization
